所属模块,用例标题,步骤,预期,关键词,用例类型,优先级,用例状态,适用阶段,前置条件,,类型可选值列表,阶段可选值列表,状态可选值列表
/(#0),,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,"
功能测试
性能测试
配置相关
安装部署
安全相关
接口测试
其他","
单元测试阶段
功能测试阶段
集成测试阶段
系统测试阶段
冒烟测试阶段
版本验证阶段","
正常
被阻塞
研究中"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
注册,验证进入商城首页，网站头部显示登录注册两个链接并且点击可以跳转,"1.输入网址192.168.124.3:80
2.点击注册按钮","1.进入商城首页
2.跳转到注册页面",,功能测试,3,,系统测试阶段,商城首页为游客状态,,,,
,验证在注册页面，默认为手机号注册,1.进入注册页面,1.注册方式默认为手机号注册,,功能测试,2,,系统测试阶段,页面进入注册页面,,,,
,验证手机号验证码设置密码确认密码都正确，勾选点击同意协议并注册，注册成功,"1.手机号输入15129569470，验证码8888，设置密码Abc123?，确认密码Abc123?，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册成功提示注册成功，跳转至首页",,功能测试,,,系统测试阶段,页面在注册页面,,,,
,验证手机号验证码设置密码确认密码推荐人手机号都正确，勾选点击同意协议并注册，注册成功,"1.手机号输入15129569470，验证码8888，设置密码Abc123?，确认密码Abc123?，推荐人手机正确，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册成功提示注册成功，跳转至首页",,功能测试,,,系统测试阶段,页面在注册页面,,,,
,验证推荐人手机为未注册的手机号，注册失败,"1.手机号输入15129569470，验证码8888，设置密码Abc123?，确认密码Abc123?，推荐人手机为未注册的手机号，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册失败后刷新验证码图片",,功能测试,,,系统测试阶段,,,,,
,验证手机号不填，注册失败,"1.手机号为空，验证码8888，设置密码Abc123?，确认密码Abc123?，推荐人手机正确，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册失败，提示请用手机号或邮箱注册，刷新验证码图片",,功能测试,,,系统测试阶段,,,,,
,验证手机号第一位不是1，注册失败,"1.手机号输入25129569470，验证码8888，设置密码Abc123?，确认密码Abc123?，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册失败，提示请用手机号或邮箱注册，刷新验证码图片",,功能测试,,,系统测试阶段,,,,,
,验证手机号第二位为2，注册失败,"1.手机号输入22129569470，验证码8888，设置密码Abc123?，确认密码Abc123?，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册失败，提示请用手机号或邮箱注册，刷新验证码图片",,功能测试,,,系统测试阶段,,,,,
,验证手机号超过11位，注册失败,"1.手机号输入15129569470000，验证码8888，设置密码Abc123?，确认密码Abc123?，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册失败，提示请用手机号或邮箱注册，刷新验证码图片",,功能测试,,,系统测试阶段,,,,,
,验证手机号不够11位，注册失败,"1.手机号输入15000，验证码8888，设置密码Abc123?，确认密码Abc123?，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册失败，提示请用手机号或邮箱注册，刷新验证码图片",,功能测试,,,系统测试阶段,,,,,
,验证输入符合条件但已存在的手机号，注册失败,"1.手机号输入15129569470，验证码8888，设置密码Abc123?，确认密码Abc123?，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册失败，提示账号已存在，刷新验证码图片",,功能测试,,,系统测试阶段,,,,,
,验证点击验证码刷新按钮可以更新验证码,1.点击验证码刷新按钮,1.验证码刷新了,,功能测试,,,系统测试阶段,,,,,
,验证验证码输入错误，注册失败,"1.手机号输入15129569470，验证码1010，设置密码Abc123?，确认密码Abc123?，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册失败，提示图像验证码不能为空，刷新验证码图片",,功能测试,,,系统测试阶段,,,,,
,验证验证码为空，注册失败,"1.手机号输入15129569470，验证码为空，设置密码Abc123?，确认密码Abc123?，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册失败，提示图像验证码不能为空，刷新验证码图片",,功能测试,,,系统测试阶段,,,,,
