所属模块,用例标题,步骤,预期,关键词,用例类型,优先级,用例状态,适用阶段,前置条件,,类型可选值列表,阶段可选值列表,状态可选值列表
/(#0),,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,"
功能测试
性能测试
配置相关
安装部署
安全相关
接口测试
其他","
单元测试阶段
功能测试阶段
集成测试阶段
系统测试阶段
冒烟测试阶段
版本验证阶段","
正常
被阻塞
研究中"
/注册,验证首次进入商城，头部显示注册登录两个链接，并能点击进行跳转,"1. 输入网址192.168.124.3:80进入商城；
2. 点击注册按钮。
","1. 进入商城首页头部显示了注册和登录两个链接；
2.正常跳转到注册界面。",,功能测试,2,正常,系统测试阶段,未在此网站进行登录,,,,
/注册,验证注册界面默认为手机号注册方式,"1. 点击注册按钮；
2.查看默认注册方式。","1. 跳转到注册界面；
2.默认注册方式为手机号注册。",,功能测试,2,正常,系统测试阶段,注册功能正常,,,,
/注册,验证输入正确的手机号注册条件，不包含推荐人手机号时，注册成功。,"1. 点击注册按钮；
2. 输入手机号18812345678，输入图形验证码为8888，输入密码和确认密码为123456，用户协议为勾选状态；
3.点击同意协议并注册。","1. 跳转到注册界面；
2.内容全部输入；
3.注册成功，跳转至商城首页。",,功能测试,2,正常,系统测试阶段,手机号未被注册,,,,
/注册,验证输入正确的手机号注册条件，包含推荐人手机号时，注册成功。,"1. 点击注册按钮；
2. 输入手机号18812345678，输入图形验证码为8888，输入密码和确认密码为123456，输入推荐人手机号为18818881888，用户协议为勾选状态；
3.点击同意协议并注册。","1. 跳转到注册界面；
2.内容全部输入；
3.注册成功，跳转至商城首页。",,功能测试,2,正常,系统测试阶段,手机号未被注册，推荐人手机号为注册过的,,,,
/注册,验证输入正确的邮箱注册条件，不包含推荐人手机号时，注册成功。,"1. 点击注册按钮；
2. 输入邮箱为1234@qq.com，输入图形验证码为8888，输入密码和确认密码为123456，用户协议为勾选状态；
3.点击同意协议并注册。","1. 跳转到注册界面；
2.内容全部输入；
3.注册成功，跳转至商城首页。",,功能测试,2,正常,系统测试阶段,邮箱未被注册,,,,
/注册,验证输入正确的邮箱注册条件，包含推荐人手机号时，注册成功。,"1. 点击注册按钮；
2. 输入邮箱为1234@sina.com，输入图形验证码为8888，输入密码和确认密码为123456，输入推荐人手机号为18818881888，用户协议为勾选状态；
3.点击同意协议并注册。","1. 跳转到注册界面；
2.内容全部输入；
3.注册成功，跳转至商城首页。",,功能测试,2,正常,系统测试阶段,邮箱未被注册，推荐人手机号为注册过的,,,,
/注册,验证点击刷新按钮可以更新验证码,"1. 点击注册按钮；
2.点击刷新按钮。","1. 跳转到注册界面；
2.更新图形验证码。",,功能测试,2,正常,系统测试阶段,注册功能正常,,,,
/注册,验证输入已被注册的手机号时，注册失败。,"1. 点击注册按钮；
2. 输入手机号为18812345678，输入图形验证码为8888，输入密码和确认密码为123456，输入推荐人手机号为18818881888，用户协议为勾选状态；
3.点击同意协议并注册。","1. 跳转到注册界面；
2.内容全部输入；
3.注册失败，提示信息：账号已存在，并刷新图片验证码。",,功能测试,2,正常,系统测试阶段,手机号已被注册,,,,
/注册,验证不勾选用户协议时，注册失败。,"1. 点击注册按钮；
2. 输入手机号为18812345678，输入图形验证码为8888，输入密码和确认密码为123456，输入推荐人手机号为18818881888，用户协议为取消勾选状态；
3.点击同意协议并注册。","1. 跳转到注册界面；
2.内容全部输入；
3.注册失败，刷新图形验证码。",,功能测试,2,正常,系统测试阶段,手机号未被注册,,,,
/注册,验证必填项手机号为空时，注册失败。,"1. 点击注册按钮；
2. 手机号为空，输入图形验证码为8888，输入密码和确认密码为123456，输入推荐人手机号为18818881888，用户协议为勾选状态；
3.点击同意协议并注册。","1. 跳转到注册界面；
2.内容全部输入；
3.注册失败，提示信息：请使用邮箱或手机号注册，并刷新图片验证码。",,功能测试,2,正常,系统测试阶段,注册功能正常,,,,
/注册,验证必填项图片验证码为空时，注册失败。,"1. 点击注册按钮；
2. 手机号为18812345678，图形验证码为空，输入密码和确认密码为123456，输入推荐人手机号为18818881888，用户协议为勾选状态；
3.点击同意协议并注册。","1. 跳转到注册界面；
2.内容全部输入；
3.注册失败，提示信息：图像验证码不能为空，并刷新图片验证码。",,功能测试,2,正常,系统测试阶段,注册功能正常,,,,
/注册,验证必填项密码为空时，注册失败。,"1. 点击注册按钮；
2. 手机号为18812345678，图形验证码为8888，密码为空，确认密码为123456，输入推荐人手机号为18818881888，用户协议为勾选状态；
3.点击同意协议并注册。","1. 跳转到注册界面；
2.内容全部输入；
3.注册失败，提示信息：请输入用户名或密码，并刷新图片验证码。",,功能测试,2,正常,系统测试阶段,注册功能正常,,,,
/注册,验证必填项确认密码为空时，注册失败。,"1. 点击注册按钮；
2. 手机号为18812345678，图形验证码为8888，密码为123456，确认密码为空，输入推荐人手机号为18818881888，用户协议为勾选状态；
3.点击同意协议并注册。","1. 跳转到注册界面；
2.内容全部输入；
3.注册失败，提示信息：两次输入密码不一致，并刷新图片验证码。",,功能测试,2,正常,系统测试阶段,注册功能正常,,,,
/注册,验证手机号格式错误时，注册失败。,"1. 点击注册按钮；
2. 手机号为28812345678，输入图形验证码为8888，输入密码和确认密码为123456，输入推荐人手机号为18818881888，用户协议为勾选状态；
3.点击同意协议并注册。","1. 跳转到注册界面；
2.内容全部输入；
3.注册失败，提示信息：请使用邮箱或手机号注册，并刷新图片验证码。",,功能测试,2,正常,系统测试阶段,注册功能正常,,,,
/注册,验证必填项邮箱为空时，注册失败。,"1. 点击注册按钮；
2. 邮箱为空，输入图形验证码为8888，输入密码和确认密码为123456，输入推荐人手机号为18818881888，用户协议为勾选状态；
3.点击同意协议并注册。","1. 跳转到注册界面；
2.内容全部输入；
3.注册失败，提示信息：请使用邮箱或手机号注册，并刷新图片验证码。",,功能测试,2,正常,系统测试阶段,注册功能正常,,,,
/注册,验证手机号格式错误时，注册失败。,"1. 点击注册按钮；
2. 手机号为12812345678，输入图形验证码为8888，输入密码和确认密码为123456，输入推荐人手机号为18818881888，用户协议为勾选状态；
3.点击同意协议并注册。","1. 跳转到注册界面；
2.内容全部输入；
3.注册失败，提示信息：请使用邮箱或手机号注册，并刷新图片验证码。",,功能测试,2,正常,系统测试阶段,注册功能正常,,,,
/注册,验证输入非11位的手机号时，注册失败。,"1. 点击注册按钮；
2. 手机号为1881234567，输入图形验证码为8888，输入密码和确认密码为123456，输入推荐人手机号为18818881888，用户协议为勾选状态；
3.点击同意协议并注册。","1. 跳转到注册界面；
2.内容全部输入；
3.注册失败，提示信息：请使用邮箱或手机号注册，并刷新图片验证码。",,功能测试,2,正常,系统测试阶段,注册功能正常,,,,
/注册,验证邮箱格式错误时，注册失败。,"1. 点击注册按钮；
2. 邮箱为1234，输入图形验证码为8888，输入密码和确认密码为123456，输入推荐人手机号为18818881888，用户协议为勾选状态；
3.点击同意协议并注册。","1. 跳转到注册界面；
2.内容全部输入；
3.注册失败，提示信息：请使用邮箱或手机号注册，并刷新图片验证码。",,功能测试,2,正常,系统测试阶段,注册功能正常,,,,
/注册,验证邮箱以下划线开头时，注册失败。,"1. 点击注册按钮；
2. 邮箱为_1234@qq.com，输入图形验证码为8888，输入密码和确认密码为123456，输入推荐人手机号为18818881888，用户协议为勾选状态；
3.点击同意协议并注册。","1. 跳转到注册界面；
2.内容全部输入；
3.注册失败，提示信息：请使用邮箱或手机号注册，并刷新图片验证码。",,功能测试,2,正常,系统测试阶段,注册功能正常,,,,
/注册,验证邮箱长度小于4位时，注册失败。,"1. 点击注册按钮；
2. 邮箱为123@qq.com，输入图形验证码为8888，输入密码和确认密码为123456，输入推荐人手机号为18818881888，用户协议为勾选状态；
3.点击同意协议并注册。","1. 跳转到注册界面；
2.内容全部输入；
3.注册失败，提示信息：请使用邮箱或手机号注册，并刷新图片验证码。",,功能测试,2,正常,系统测试阶段,注册功能正常,,,,
/注册,验证邮箱长度大于16位时，注册失败。,"1. 点击注册按钮；
2. 邮箱为12345678912345678@qq.com，输入图形验证码为8888，输入密码和确认密码为123456，输入推荐人手机号为18818881888，用户协议为勾选状态；
3.点击同意协议并注册。","1. 跳转到注册界面；
2.内容全部输入；
3.注册失败，提示信息：请使用邮箱或手机号注册，并刷新图片验证码。",,功能测试,2,正常,系统测试阶段,注册功能正常,,,,
/注册,验证错误的验证码，注册失败。,"1. 点击注册按钮；
2. 邮箱为1234567678@qq.com，输入图形验证码为1234，输入密码和确认密码为123456，输入推荐人手机号为18818881888，用户协议为勾选状态；
3.点击同意协议并注册。","1. 跳转到注册界面；
2.内容全部输入；
3.注册失败，提示信息：图像验证码错误，并刷新图片验证码。",,功能测试,2,正常,系统测试阶段,注册功能正常,,,,
/注册,验证密码长度小于6位时，注册失败。,"1. 点击注册按钮；
2. 邮箱为1234567@qq.com，输入图形验证码为1234，输入密码和确认密码为123，输入推荐人手机号为18818881888，用户协议为勾选状态；
3.点击同意协议并注册。","1. 跳转到注册界面；
2.内容全部输入；
3.注册失败，提示信息：密码为6~16位大小写英文字母、数字或符号组合，并刷新图片验证码。",,功能测试,2,正常,系统测试阶段,邮箱未被注册，推荐人手机号为注册过的,,,,
/注册,验证密码长度大于16位时，注册失败。,"1. 点击注册按钮；
2. 手机号为18812345678，图形验证码为8888，密码和确认密码为12345678911234567，输入推荐人手机号为18818881888，用户协议为勾选状态；
3.点击同意协议并注册。","1. 跳转到注册界面；
2.内容全部输入；
3.注册失败，提示信息：密码为6~16位大小写英文字母、数字或符号组合，并刷新图片验证码。",,功能测试,2,正常,系统测试阶段,手机号未被注册，推荐人手机号为注册过的,,,,
/注册,验证两次密码输入不一致时，注册失败。,"1. 点击注册按钮；
2. 手机号为18812345678，图形验证码为8888，密码为123456，确认密码为12345，输入推荐人手机号为18818881888，用户协议为勾选状态；
3.点击同意协议并注册。","1. 跳转到注册界面；
2.内容全部输入；
3.注册失败，提示信息：两次输入密码不一致，并刷新图片验证码。",,功能测试,2,正常,系统测试阶段,手机号未被注册，推荐人手机号为注册过的,,,,
/注册,验证输入格式错误的推荐人手机号时，注册失败。,"1. 点击注册按钮；
2. 手机号为18812345678，图形验证码为8888，密码和确认密码为123456，输入推荐人手机号为28812345678，用户协议为勾选状态；
3.点击同意协议并注册。","1. 跳转到注册界面；
2.内容全部输入；
3.注册失败，并刷新图像验证码。",,功能测试,2,正常,系统测试阶段,注册功能正常,,,,
/注册,验证输入未被注册的推荐人手机号时，注册失败。,"1. 点击注册按钮；
2. 手机号为18812345678，图形验证码为8888，密码和确认密码为123456，输入推荐人手机号为18812345678，用户协议为勾选状态；
3.点击同意协议并注册。","1. 跳转到注册界面；
2.内容全部输入；
3.注册失败，并刷新图像验证码。",,功能测试,2,正常,系统测试阶段,推荐人手机号未被注册,,,,
/注册,验证注册成功时前台会弹框提示注册成功，跳转到首页， 显示登录状态。,"1. 点击注册按钮；
2. 输入手机号18812345678，输入图形验证码为8888，输入密码和确认密码为123456，用户协议为勾选状态；
3.点击同意协议并注册；
4.查看前台状态。","1. 跳转到注册界面；
2.内容全部输入；
3.注册成功，跳转至商城首页；
4.前台会弹框提示注册成功，跳转到首页， 显示登录状态。",,功能测试,2,正常,系统测试阶段,手机号未被注册,,,,
/注册,验证注册成功时， 后台会员列表新增一条记录。,"1. 点击注册按钮；
2. 输入手机号18812345678，输入图形验证码为8888，输入密码和确认密码为123456，用户协议为勾选状态；
3.点击同意协议并注册；
4.点击后台会员列表查看。","1. 跳转到注册界面；
2.内容全部输入；
3.注册成功，跳转至商城首页；
4.后台会员列表新增刚才创建的会员记录。",,功能测试,2,正常,系统测试阶段,手机号未被注册,,,,
/注册,验证注册成功时，数据库tp_users表增加一条数据。,"1. 点击注册按钮；
2. 输入手机号18812345678，输入图形验证码为8888，输入密码和确认密码为123456，用户协议为勾选状态；
3.点击同意协议并注册；
4.连接数据库查看tp_users表。","1. 跳转到注册界面；
2.内容全部输入；
3.注册成功，跳转至商城首页；
4.数据库 tp_users表增加一条数据。",,功能测试,2,正常,系统测试阶段,手机号未被注册,,,,
/注册,验证注册失败时，后台会员列表不会变化。,"1. 点击注册按钮；
2. 手机号未空，输入图形验证码为8888，输入密码和确认密码为123456，用户协议为勾选状态；
3.点击同意协议并注册；
4.点击后台会员列表查看。","1. 跳转到注册界面；
2.内容全部输入；
3.注册成功，跳转至商城首页；
4.后台会员列表数据没有变化。",,功能测试,2,正常,系统测试阶段,后台会员列表功能正常,,,,
/注册,验证注册失败时，数据库tp_users表不会变化。,"1. 点击注册按钮；
2. 手机号未空，输入图形验证码为8888，输入密码和确认密码为123456，用户协议为勾选状态；
3.点击同意协议并注册；
4.连接数据库查看tp_users表。","1. 跳转到注册界面；
2.内容全部输入；
3.注册成功，跳转至商城首页；
4.数据库tp_users表没有变化。",,功能测试,2,正常,系统测试阶段,数据库功能连接正常,,,,
/登录,验证用户登录后，网站头部显示用户的用户名全部内容和安全退出。,"1.点击登录按钮；
2.输入用户名18818881888，输入密码123456，输入验证码8888；
3.点击登录，查看网站头部显示信息。","1.跳转到登录界面；
2.内容全部输入；
3.登录成功，网站头部显示用户的用户名全部内容和安全退出。",,功能测试,2,正常,系统测试阶段,此用户已注册,,,,
/登录,验证邮箱用户登录后，网站头部显示用户的邮箱地址和安全退出。,"1.点击登录按钮；
2.输入登录邮箱12345@qq.com，输入密码123456，输入验证码8888；
3.点击登录，查看网站头部显示信息。","1.跳转到登录界面；
2.内容全部输入；
3.登录成功，网站头部显示用户的邮箱地址全部内容和安全退出。",,功能测试,2,正常,系统测试阶段,此用户已注册,,,,
/登录,验证用户登录成功后，无提示语，直接跳转到我的商城界面。,"1.点击登录按钮；
2.输入登录邮箱12345@qq.com，输入密码123456，输入验证码8888；
3.点击登录。","1.跳转到登录界面；
2.内容全部输入；
3.登录成功，无提示语，直接跳转到我的商城界面。",,功能测试,2,正常,系统测试阶段,此用户已注册,,,,
/登录,验证用户登录后点击安全退出按钮，可以退出登录状态。,"1.点击登录按钮；
2.输入登录邮箱12345@qq.com，输入密码123456，输入验证码8888；
3.点击登录；
4.点击安全退出按钮。","1.跳转到登录界面；
2.内容全部输入；
3.登录成功，无提示语，直接跳转到我的商城界面；
4.成功退出登录状态。",,功能测试,2,正常,系统测试阶段,此用户已注册,,,,
/登录,验证输入格式错误的手机号时，登录失败。,"1.点击登录按钮；
2.输入手机号2222，输入密码123456，输入验证码8888；
3.点击登录。","1.跳转到登录界面；
2.内容全部输入；
3.登录失败，提示信息：账号格式不匹配，且更新验证码。",,功能测试,2,正常,系统测试阶段,手机号有固定格式,,,,
/登录,验证输入格式错误的邮箱时，登录失败。,"1.点击登录按钮；
2.输入登录邮箱12345，输入密码123456，输入验证码8888；
3.点击登录。","1.跳转到登录界面；
2.内容全部输入；
3.登录失败，提示信息：账号格式不匹配，且更新验证码。",,功能测试,2,正常,系统测试阶段,邮箱有固定格式,,,,
/登录,验证输入未被注册的手机号时，登录失败。,"1.点击登录按钮；
2.输入手机号18818881889，输入密码123456，输入验证码8888；
3.点击登录。","1.跳转到登录界面；
2.内容全部输入；
3.登录失败，提示信息：账号不存在，并更新验证码。",,功能测试,2,正常,系统测试阶段,此手机号未被注册,,,,
/登录,验证输入未被注册的邮箱时，登录失败。,"1.点击登录按钮；
2.输入手机号112233@qq.com，输入密码123456，输入验证码8888；
3.点击登录。","1.跳转到登录界面；
2.内容全部输入；
3.登录失败，提示信息：账号不存在，并更新验证码。",,功能测试,2,正常,系统测试阶段,此邮箱未被注册,,,,
/登录,验证登录时用户名为空，登录失败。,"1.点击登录按钮；
2.用户名为空，输入密码123456，输入验证码8888；
3.点击登录。","1.跳转到登录界面；
2.内容全部输入；
3.登录失败，提示信息：用户名不能为空，并更新验证码。",,功能测试,2,正常,系统测试阶段,登录模块功能正常,,,,
/登录,验证登录时密码为空，登录失败。,"1.点击登录按钮；
2.输入手机号为18818881888，密码为空，输入验证码8888；
3.点击登录。","1.跳转到登录界面；
2.内容全部输入；
3.登录失败，提示信息：密码不能为空，并更新验证码。",,功能测试,2,正常,系统测试阶段,此用户已注册,,,,
/登录,验证用户名输入正确，密码错误时，登录失败。,"1.点击登录按钮；
2.输入手机号为18818881888，密码为111111111，输入验证码8888；
3.点击登录。","1.跳转到登录界面；
2.内容全部输入；
3.登录失败，提示信息：密码错误，并更新验证码。",,功能测试,2,正常,系统测试阶段,此用户已注册,,,,
